ID,Designator,Footprint,Quantity,Comment,供給業者、参考資料
1,"C15,C14",C_0402_1005Metric,2,15pF,
2,"R7,R5",R_0402_1005Metric,2,1k,
3,U2,SOT-23,1,MCP1700x-330xxTT,
4,"C10,C8,C17,C7,C6,C9,C2,C4,C5,C3,C16",C_0402_1005Metric,11,0.1uF,
5,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
6,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
7,"J3,J2",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
8,"R4,R3",R_0402_1005Metric,2,27,
9,SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
10,R6,R_0402_1005Metric,1,10k,
11,"C1,C11",C_0402_1005Metric,2,1uF,
12,J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
13,"C12,C13",C_0603_1608Metric,2,10uF,
14,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
15,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q128JVS,
16,"R2,R1",R_0402_1005Metric,2,5.1k,